id,domain,negation_type,negation,paraphrase,unrelated
geo-01,geography,explicit_not,0.7484387159347534,0.8795734643936157,0.11465062201023102
geo-02,geography,antonym,0.8063652515411377,0.7133147716522217,0.17053668200969696
geo-03,geography,explicit_not,0.8207917213439941,0.8638253808021545,0.32946813106536865
geo-04,geography,quantifier,0.7432523369789124,0.7869083881378174,0.27180179953575134
geo-05,geography,scope,0.9011583924293518,0.8901260495185852,0.2644142210483551
geo-06,geography,explicit_not,0.8811067938804626,0.8567284941673279,0.47058606147766113
geo-07,geography,antonym,0.8850318193435669,0.869184136390686,0.19722086191177368
geo-08,geography,explicit_not,0.7453474998474121,0.8636347055435181,0.5516740083694458
med-01,medical,explicit_not,0.7767044305801392,0.8806135058403015,0.2110527753829956
med-02,medical,explicit_not,0.8163909912109375,0.808688759803772,0.233590230345726
med-03,medical,modal,0.9598631858825684,0.9257047176361084,0.31584131717681885
med-04,medical,antonym,0.9424499273300171,0.8731691837310791,0.13645757734775543
med-05,medical,explicit_not,0.9717997908592224,0.8289834260940552,0.31454578042030334
med-06,medical,antonym,0.8010448217391968,0.6502512693405151,0.25709253549575806
med-07,medical,modal,0.8540182113647461,0.6255240440368652,0.40042924880981445
med-08,medical,explicit_not,0.8678255081176758,0.8782494068145752,0.1764546036720276
law-01,legal,explicit_not,0.8989399671554565,0.9162485599517822,0.3649391531944275
law-02,legal,modal,0.9692947864532471,0.8462438583374023,0.28854960203170776
law-03,legal,explicit_not,0.8742501735687256,0.8723116517066956,0.23895607888698578
law-04,legal,explicit_not,0.8854968547821045,0.7856101989746094,0.26210469007492065
law-05,legal,explicit_not,0.9011512994766235,0.9197821617126465,0.21630209684371948
law-06,legal,quantifier,0.9385954737663269,0.8758790493011475,0.2919672727584839
law-07,legal,explicit_not,0.7462627291679382,0.8627591729164124,0.2279585301876068
law-08,legal,modal,0.9192032217979431,0.8893570899963379,0.2946273684501648
fin-01,financial,explicit_not,0.8577067852020264,0.8949888348579407,0.4467805027961731
fin-02,financial,explicit_not,0.6288596391677856,0.9082135558128357,0.15022245049476624
fin-03,financial,antonym,0.7746027708053589,0.5832394361495972,0.07153455913066864
fin-04,financial,explicit_not,0.8861982226371765,0.9001885652542114,0.4622277021408081
fin-05,financial,explicit_not,0.751437783241272,0.848717451095581,0.6032683253288269
fin-06,financial,explicit_not,0.8105982542037964,0.7973871827125549,0.37955552339553833
fin-07,financial,explicit_not,0.8317383527755737,0.7547923922538757,0.20780643820762634
fin-08,financial,explicit_not,0.7801679372787476,0.8045755624771118,0.23327800631523132
saf-01,safety,modal,0.9021823406219482,0.8112686276435852,0.5310356616973877
saf-02,safety,modal,0.8751945495605469,0.8074321746826172,0.2895781993865967
saf-03,safety,scope,0.8548926711082458,0.8342624306678772,0.22266656160354614
saf-04,safety,explicit_not,0.9249737858772278,0.9566434025764465,0.4094443917274475
saf-05,safety,explicit_not,0.9647800922393799,0.9187568426132202,0.07927536219358444
saf-06,safety,modal,0.7910742163658142,0.8215801119804382,0.4839111566543579
saf-07,safety,explicit_not,0.8362064957618713,0.9030373096466064,0.004745643585920334
saf-08,safety,explicit_not,0.9398584961891174,0.8157356381416321,0.37362056970596313
